fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.842,0.914,0.819,0.825,0.911,0.817
eqOpp1,0.977,0.97,0.879,0.846,0.684,0.822
eqOpp0,0.984,0.943,0.967,0.983,0.941,0.933
eqOdd,0.98,0.956,0.923,0.914,0.813,0.878
p-accuracy,0.782,0.731,0.819,0.774,0.795,0.813
auc,0.793,0.779,0.839,0.761,0.856,0.77
bnsp,0.831,0.833,0.77,0.792,0.89,0.678
bpsn,0.785,0.78,0.87,0.8,0.766,0.893
posAEG,0.012,0.015,0.06,0.077,-0.158,0.089
negAEG,-0.008,-0.029,0.016,0.008,-0.03,0.033
