fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.844,0.921,0.825,0.829,0.904,0.821
eqOpp1,0.986,0.972,0.937,0.921,0.715,0.802
eqOpp0,0.987,0.93,0.969,0.961,0.96,0.944
eqOdd,0.986,0.951,0.953,0.941,0.837,0.873
p-accuracy,0.8,0.719,0.833,0.808,0.795,0.825
auc,0.742,0.759,0.849,0.818,0.859,0.799
bnsp,0.797,0.831,0.792,0.785,0.881,0.719
bpsn,0.757,0.748,0.85,0.828,0.77,0.866
posAEG,-0.007,0.014,0.032,0.04,-0.143,0.099
negAEG,-0.007,-0.035,0.015,0.019,-0.02,0.028
