metrics,gender_men,gender_men_DP,gender_women,gender_women_DP,race_white,race_white_DP,race_black,race_black_DP,Total,Total_DP
auc,0.823,0.85,0.817,0.734,0.792,0.767,0.88,0.848,0.851,0.813
accuracy,0.806,0.851,0.752,0.723,0.795,0.783,0.815,0.812,0.806,0.814
f1_score,0.577,0.581,0.607,0.448,0.538,0.348,0.785,0.75,0.624,0.549
precision,0.667,0.562,0.63,0.51,0.643,0.667,0.778,0.767,0.677,0.658
recall,0.508,0.6,0.586,0.4,0.463,0.235,0.791,0.733,0.578,0.471
false positive rate,0.09,0.097,0.168,0.151,0.09,0.038,0.168,0.139,0.106,0.077
