fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.843,0.902,0.816,0.826,0.906,0.813
eqOpp1,0.988,0.93,0.931,0.911,0.671,0.825
eqOpp0,0.962,0.945,0.955,0.996,0.929,0.934
eqOdd,0.975,0.938,0.943,0.953,0.8,0.879
p-accuracy,0.767,0.72,0.846,0.774,0.798,0.847
auc,0.761,0.763,0.872,0.797,0.871,0.826
bnsp,0.831,0.834,0.806,0.79,0.903,0.72
bpsn,0.748,0.759,0.87,0.814,0.762,0.893
posAEG,0.006,0.035,0.034,0.045,-0.165,0.088
negAEG,-0.019,-0.028,0.023,0.002,-0.036,0.033
