fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
auc,0.759,0.761,0.849,0.776,0.858,0.809
bnsp,0.819,0.832,0.785,0.778,0.883,0.704
bpsn,0.75,0.745,0.859,0.803,0.763,0.885
eqOdd,0.967,0.941,0.943,0.94,0.828,0.874
eqOpp0,0.968,0.935,0.963,0.981,0.944,0.936
eqOpp1,0.968,0.947,0.923,0.899,0.712,0.813
negAEG,-0.016,-0.033,0.019,0.01,-0.028,0.032
p-accuracy,0.765,0.721,0.83,0.781,0.782,0.823
parity,0.845,0.919,0.822,0.829,0.905,0.818
posAEG,0.016,0.007,0.038,0.05,-0.144,0.094
