fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
auc,0.768,0.772,0.852,0.781,0.86,0.793
bnsp,0.811,0.834,0.783,0.788,0.896,0.707
bpsn,0.779,0.769,0.868,0.812,0.764,0.883
eqOdd,0.974,0.957,0.939,0.93,0.812,0.874
eqOpp0,0.982,0.936,0.978,0.983,0.938,0.936
eqOpp1,0.967,0.977,0.901,0.877,0.686,0.812
negAEG,-0.009,-0.032,0.011,0.009,-0.031,0.032
p-accuracy,0.782,0.727,0.819,0.78,0.795,0.827
parity,0.84,0.916,0.82,0.825,0.907,0.816
posAEG,0.012,0.011,0.05,0.062,-0.157,0.094
