metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian,Total
accuracy,0.746,0.687,0.802,0.75,0.652,0.798,0.734
auc,0.716,0.733,0.821,0.733,0.825,0.755,0.765
bnsp_auc,0.807,0.857,0.773,0.699,0.822,0.651,
bpsn_auc,0.678,0.631,0.808,0.802,0.755,0.849,
f1_score,0.165,0.187,0.162,0.133,0.244,0.13,0.181
false positive rate,0.046,0.053,0.023,0.019,0.039,0.008,0.032
precision,0.43,0.397,0.525,0.533,0.539,0.563,0.441
recall,0.148,0.156,0.128,0.092,0.217,0.083,0.144
